board_type,board_code,board_name,source,member_count,updated_at,confidence
industry,BK1596,其他生物制品,eastmoney_push2_clist,38,2026-06-29T17:30:53,100
industry,BK1600,医疗研发外包,eastmoney_push2_clist,29,2026-06-29T17:30:53,100
industry,BK1326,半导体设备,eastmoney_push2_clist,23,2026-06-29T17:30:53,100
industry,BK1044,生物制品,eastmoney_push2_clist,58,2026-06-29T17:30:53,100
industry,BK1325,半导体材料,eastmoney_push2_clist,31,2026-06-29T17:30:53,100
industry,BK1594,化学制剂,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
industry,BK0727,医疗服务,eastmoney_push2_clist,54,2026-06-29T17:30:53,100
industry,BK0465,化学制药,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
industry,BK1623,钼,eastmoney_push2_clist,2,2026-06-29T17:30:53,100
industry,BK1424,氟化工,eastmoney_push2_clist,10,2026-06-29T17:30:53,100
industry,BK1598,疫苗,eastmoney_push2_clist,14,2026-06-29T17:30:53,100
industry,BK1595,原料药,eastmoney_push2_clist,46,2026-06-29T17:30:53,100
industry,BK1216,医药生物,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
industry,BK1507,宠物食品,eastmoney_push2_clist,4,2026-06-29T17:30:53,100
industry,BK1327,分立器件,eastmoney_push2_clist,18,2026-06-29T17:30:53,100
industry,BK1500,医美耗材,eastmoney_push2_clist,3,2026-06-29T17:30:53,100
industry,BK1512,生猪养殖,eastmoney_push2_clist,11,2026-06-29T17:30:53,100
industry,BK1604,医疗耗材,eastmoney_push2_clist,54,2026-06-29T17:30:53,100
industry,BK1320,逆变器,eastmoney_push2_clist,9,2026-06-29T17:30:53,100
industry,BK1608,中药Ⅲ,eastmoney_push2_clist,66,2026-06-29T17:30:53,100
industry,BK1040,中药Ⅱ,eastmoney_push2_clist,66,2026-06-29T17:30:53,100
industry,BK1450,空调,eastmoney_push2_clist,3,2026-06-29T17:30:53,100
industry,BK1605,医疗设备,eastmoney_push2_clist,44,2026-06-29T17:30:53,100
industry,BK1602,诊断服务,eastmoney_push2_clist,5,2026-06-29T17:30:53,100
industry,BK1041,医疗器械,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
industry,BK1443,橡胶助剂,eastmoney_push2_clist,2,2026-06-29T17:30:53,100
industry,BK1601,医院,eastmoney_push2_clist,15,2026-06-29T17:30:53,100
industry,BK1296,视频媒体,eastmoney_push2_clist,1,2026-06-29T17:30:53,100
industry,BK1452,卫浴电器,eastmoney_push2_clist,3,2026-06-29T17:30:53,100
industry,BK1253,医疗美容,eastmoney_push2_clist,4,2026-06-29T17:30:53,100
industry,BK1258,饲料,eastmoney_push2_clist,17,2026-06-29T17:30:53,100
industry,BK1597,血液制品,eastmoney_push2_clist,6,2026-06-29T17:30:53,100
industry,BK1498,品牌化妆品,eastmoney_push2_clist,8,2026-06-29T17:30:53,100
industry,BK1348,辅料,eastmoney_push2_clist,4,2026-06-29T17:30:53,100
industry,BK1603,体外诊断,eastmoney_push2_clist,40,2026-06-29T17:30:53,100
industry,BK1259,养殖业,eastmoney_push2_clist,22,2026-06-29T17:30:53,100
industry,BK1495,生活用纸,eastmoney_push2_clist,9,2026-06-29T17:30:53,100
industry,BK1356,其他饰品,eastmoney_push2_clist,2,2026-06-29T17:30:53,100
industry,BK1036,半导体,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
industry,BK1323,综合电力设备商,eastmoney_push2_clist,2,2026-06-29T17:30:53,100
industry,BK1251,个护用品,eastmoney_push2_clist,13,2026-06-29T17:30:53,100
industry,BK1599,其他医疗服务,eastmoney_push2_clist,5,2026-06-29T17:30:53,100
industry,BK1508,畜禽饲料,eastmoney_push2_clist,9,2026-06-29T17:30:53,100
industry,BK1606,线下药店,eastmoney_push2_clist,8,2026-06-29T17:30:53,100
industry,BK1586,软饮料,eastmoney_push2_clist,8,2026-06-29T17:30:53,100
industry,BK1501,动物保健Ⅲ,eastmoney_push2_clist,12,2026-06-29T17:30:53,100
industry,BK1254,动物保健Ⅱ,eastmoney_push2_clist,12,2026-06-29T17:30:53,100
industry,BK1516,其他种植业,eastmoney_push2_clist,5,2026-06-29T17:30:53,100
industry,BK1042,医药商业,eastmoney_push2_clist,32,2026-06-29T17:30:53,100
industry,BK1607,医药流通,eastmoney_push2_clist,24,2026-06-29T17:30:53,100
industry,BK1360,金融信息服务,eastmoney_push2_clist,3,2026-06-29T17:30:53,100
industry,BK1496,洗护用品,eastmoney_push2_clist,4,2026-06-29T17:30:53,100
industry,BK1583,零食,eastmoney_push2_clist,11,2026-06-29T17:30:53,100
industry,BK1358,保险Ⅲ,eastmoney_push2_clist,5,2026-06-29T17:30:53,100
industry,BK0474,保险Ⅱ,eastmoney_push2_clist,5,2026-06-29T17:30:53,100
